source_sheet	source_row	trip	sample_id	specimen_iri	site	compartment	replicate	measurement_date_raw	measurement_date	date_status	calibration_recorded	slope_percent	ph10_check	ph_value_raw	ph_value	notes	metadata_match	calibration_pass	slope_pass	ph10_check_pass	value_range_pass	disposition	ecology_eligible	kg_eligible	reason_codes	alpha_trip	alpha_site	alpha_compartment	shannon	sequencing_depth	n_profiles
Trip 1	31	1	5Sr1	https://rubalkhali.science/kb/RAK_6000040	5	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.03	8.03		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	5	Surface	5.725087157253492	244857.0	1
Trip 1	34	1	5Dr1	https://rubalkhali.science/kb/RAK_6000037	5	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	5	Deep	6.294755274737854	156969.0	1
Trip 1	36	1	6Sr1	https://rubalkhali.science/kb/RAK_6000049	6	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.96	7.96		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	6	Surface	5.911475454407379	53354.0	1
Trip 1	38	1	6Dr1	https://rubalkhali.science/kb/RAK_6000046	6	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	6	Deep	7.217200723625958	963407.0	1
Trip 1	40	1	6PRr1	https://rubalkhali.science/kb/RAK_6000052	6	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.88	7.88		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	6	Rhizosphere	4.960751909945537	16591.0	1
Trip 1	43	1	7Sr2	https://rubalkhali.science/kb/RAK_6000059	7	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.04	8.04		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	7	Surface	4.005569337181843	53896.0	1
Trip 1	45	1	7Dr2	https://rubalkhali.science/kb/RAK_6000056	7	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.95	7.95		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	7	Deep	6.873276871173924	470585.0	1
Trip 1	46	1	7PRr2	https://rubalkhali.science/kb/RAK_6000062	7	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	7	Rhizosphere	5.307778352015222	14554.0	1
Trip 1	47	1	8Sr2	https://rubalkhali.science/kb/RAK_6000068	8	Surface	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.4	7.4		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	8	Surface	6.687904028962447	166155.0	1
Trip 1	48	1	8Sr3	https://rubalkhali.science/kb/RAK_6000069	8	Surface	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.39	7.39		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	8	Surface	5.5203769155703375	31544.0	1
Trip 1	49	1	8PRr1	https://rubalkhali.science/kb/RAK_6000070	8	Rhizosphere	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.71	7.71		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	8	Rhizosphere	5.242408579901044	9811.0	1
Trip 1	50	1	8PRr2	https://rubalkhali.science/kb/RAK_6000071	8	Rhizosphere	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.77	7.77		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	8	Rhizosphere	5.724320389560811	336935.0	1
Trip 1	51	1	8PRr3	https://rubalkhali.science/kb/RAK_6000072	8	Rhizosphere	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.69	7.69		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	8	Rhizosphere	6.54870123166638	416315.0	1
Trip 1	52	1	9Sr1	https://rubalkhali.science/kb/RAK_6000076	9	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.09	8.09		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	9	Surface	6.314880398953704	366332.0	1
Trip 1	55	1	9Dr1	https://rubalkhali.science/kb/RAK_6000073	9	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	9	Deep	6.561909712696564	318005.0	1
Trip 1	57	1	9PRr2	https://rubalkhali.science/kb/RAK_6000080	9	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.9	7.9		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	9	Rhizosphere	5.799661496283749	462436.0	1
Trip 1	59	1	10Sr2	https://rubalkhali.science/kb/RAK_6000086	10	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.01	8.01		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	10	Surface	6.830716177023331	1634081.0	1
Trip 1	61	1	10Dr2	https://rubalkhali.science/kb/RAK_6000083	10	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	10	Deep	6.659232384545959	503679.0	1
Trip 1	62	1	10PRr2	https://rubalkhali.science/kb/RAK_6000089	10	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	10	Rhizosphere	5.869525257032846	234734.0	1
Trip 1	64	1	11Sr2	https://rubalkhali.science/kb/RAK_6000095	11	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.12	8.12		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	11	Surface	5.678883274313884	125604.0	1
Trip 1	65	1	11Dr1	https://rubalkhali.science/kb/RAK_6000091	11	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.13	8.13		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	11	Deep	5.938083780496115	487056.0	1
Trip 1	69	1	11PRr3	https://rubalkhali.science/kb/RAK_6000099	11	Rhizosphere	3	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.01	8.01		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	11	Rhizosphere	5.945018617411077	847369.0	1
Trip 1	77	1	13Sr2	https://rubalkhali.science/kb/RAK_6000113	13	Surface	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	13	Surface	5.654056548523213	357173.0	1
Trip 1	78	1	13Dr1	https://rubalkhali.science/kb/RAK_6000109	13	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.03	8.03		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	13	Deep	6.9528277174114095	473455.0	1
Trip 1	86	1	15Sr1	https://rubalkhali.science/kb/RAK_6000130	15	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	15	Surface	6.42089305484757	900509.0	1
Trip 1	88	1	15Dr1	https://rubalkhali.science/kb/RAK_6000127	15	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	15	Deep	7.228124542544702	943660.0	1
Trip 1	91	1	15PRr2	https://rubalkhali.science/kb/RAK_6000134	15	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.8	7.8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	15	Rhizosphere	5.897749197947201	909284.0	1
Trip 1	93	1	16Sr1	https://rubalkhali.science/kb/RAK_6000139	16	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.88	7.88		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	16	Surface	4.805189136725123	214146.0	1
Trip 1	94	1	16Dr1	https://rubalkhali.science/kb/RAK_6000136	16	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.91	7.91		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	16	Deep	6.438471986347724	416803.0	1
Trip 1	96	1	16PRr1	https://rubalkhali.science/kb/RAK_6000142	16	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.8	7.8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	16	Rhizosphere	4.947956730318936	16917.0	1
Trip 1	99	1	17Sr1	https://rubalkhali.science/kb/RAK_6000148	17	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	8.01	8.01		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	17	Surface	5.480153064178926	23551.0	1
Trip 1	102	1	17Dr1	https://rubalkhali.science/kb/RAK_6000145	17	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	17	Deep	6.679286079105272	133041.0	1
Trip 1	105	1	17PRr2	https://rubalkhali.science/kb/RAK_6000152	17	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	17	Rhizosphere	4.991549885889936	218408.0	1
Trip 1	107	1	18Sr1	https://rubalkhali.science/kb/RAK_6000157	18	Surface	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.82	7.82		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	18	Surface	5.204226073093584	41294.0	1
Trip 1	108	1	18Sr2	https://rubalkhali.science/kb/RAK_6000158	18	Surface	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	18	Surface	5.286214098946733	188918.0	1
Trip 1	109	1	18Dr2	https://rubalkhali.science/kb/RAK_6000155	18	Deep	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.61	7.61		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	18	Deep	5.753251893919978	299805.0	1
Trip 1	111	1	18PRr2	https://rubalkhali.science/kb/RAK_6000161	18	Rhizosphere	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.91	7.91		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	18	Rhizosphere	3.421212613317964	554215.0	1
Trip 1	112	1	19Sr1	https://rubalkhali.science/kb/RAK_6000166	19	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.78	7.78		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	19	Surface	4.4410162925589045	416258.0	1
Trip 1	114	1	19Dr2	https://rubalkhali.science/kb/RAK_6000164	19	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	19	Deep	6.134222166334685	141570.0	1
Trip 1	116	1	20Sr1	https://rubalkhali.science/kb/RAK_6000175	20	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.81	7.81		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	20	Surface	4.026017136604109	395135.0	1
Trip 1	118	1	20Dr1	https://rubalkhali.science/kb/RAK_6000172	20	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.07	7.79	7.79		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	20	Deep	5.812305908854338	594658.0	1
Trip 1	126	1	22Sr1	https://rubalkhali.science/kb/RAK_6000193	22	Surface	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.98	7.98		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	22	Surface	5.5656093081725455	32727.0	1
Trip 1	127	1	22Sr3	https://rubalkhali.science/kb/RAK_6000195	22	Surface	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.91	7.91		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	22	Surface	5.796732522604136	301456.0	1
Trip 1	128	1	22Dr1	https://rubalkhali.science/kb/RAK_6000190	22	Deep	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	22	Deep	6.156266454728585	520766.0	1
Trip 1	129	1	22Dr2	https://rubalkhali.science/kb/RAK_6000191	22	Deep	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.96	7.96		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	22	Deep	6.4713252976341575	645847.0	1
Trip 1	132	1	22PRr3	https://rubalkhali.science/kb/RAK_6000198	22	Rhizosphere	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	22	Rhizosphere	5.638642377512771	473079.0	1
Trip 1	134	1	23Sr2	https://rubalkhali.science/kb/RAK_6000203	23	Surface	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.96	7.96		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	23	Surface	5.210711758903411	621961.0	1
Trip 1	136	1	23Dr1	https://rubalkhali.science/kb/RAK_6000199	23	Deep	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.03	8.03		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	23	Deep	6.06905356310698	221753.0	1
Trip 1	138	1	23PRr1	https://rubalkhali.science/kb/RAK_6000205	23	Rhizosphere	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.8	7.8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	23	Rhizosphere	4.854156371080063	55872.0	1
Trip 1	141	1	24Sr1	https://rubalkhali.science/kb/RAK_6000211	24	Surface	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.79	7.79		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	24	Surface	5.837575453420429	55712.0	1
Trip 1	144	1	24Dr2	https://rubalkhali.science/kb/RAK_6000209	24	Deep	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	24	Deep	6.229304455537572	510802.0	1
Trip 1	146	1	25Sr1	https://rubalkhali.science/kb/RAK_6000220	25	Surface	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	25	Surface	6.153406882640771	376969.0	1
Trip 1	149	1	25Dr3	https://rubalkhali.science/kb/RAK_6000219	25	Deep	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.89	7.89		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	25	Deep	6.440835870975157	499676.0	1
Trip 1	150	1	25PRr2	https://rubalkhali.science/kb/RAK_6000224	25	Rhizosphere	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.73	7.73		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	25	Rhizosphere	5.265009395124739	375595.0	1
Trip 1	159	1	27Sr2	https://rubalkhali.science/kb/RAK_6000239	27	Surface	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.92	7.92		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	27	Surface	5.687635339799874	630451.0	1
Trip 1	161	1	27Dr1	https://rubalkhali.science/kb/RAK_6000235	27	Deep	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.89	7.89		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	27	Deep	7.000027120475883	740948.0	1
Trip 1	165	1	27PRr2	https://rubalkhali.science/kb/RAK_6000242	27	Rhizosphere	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.29	7.29		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	27	Rhizosphere	5.249714056183764	443610.0	1
Trip 1	167	1	28Sr2	https://rubalkhali.science/kb/RAK_6000248	28	Surface	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.0	8.0		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	28	Surface	5.724465452900271	514475.0	1
Trip 1	169	1	28Dr1	https://rubalkhali.science/kb/RAK_6000244	28	Deep	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.98	7.98		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	28	Deep	6.348689604596271	258543.0	1
Trip 1	172	1	28PRr3	https://rubalkhali.science/kb/RAK_6000252	28	Rhizosphere	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.01	8.01		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	28	Rhizosphere	6.281413260910348	495049.0	1
Trip 1	173	1	29Sr1	https://rubalkhali.science/kb/RAK_6000256	29	Surface	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.78	7.78		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	29	Surface	5.753093155066934	421606.0	1
Trip 1	176	1	29Dr2	https://rubalkhali.science/kb/RAK_6000254	29	Deep	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.03	8.03		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	29	Deep	6.390687316553075	572404.0	1
Trip 1	180	1	29PRr3	https://rubalkhali.science/kb/RAK_6000261	29	Rhizosphere	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.94	7.94		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	29	Rhizosphere	6.329028100820555	174179.0	1
Trip 1	183	1	30Sr3	https://rubalkhali.science/kb/RAK_6000267	30	Surface	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	30	Surface	5.911531066006062	448049.0	1
Trip 1	184	1	30Dr1	https://rubalkhali.science/kb/RAK_6000262	30	Deep	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.1	8.1		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	30	Deep	6.172157290523014	139558.0	1
Trip 1	185	1	30PRr1	https://rubalkhali.science/kb/RAK_6000268	30	Rhizosphere	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.04	8.04		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	30	Rhizosphere	6.5415625135095405	880174.0	1
Trip 1	187	1	31Sr2	https://rubalkhali.science/kb/RAK_6000275	31	Surface	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.04	8.16	8.16		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	31	Surface	6.255046846646303	489913.0	1
Trip 1	189	1	31Dr2	https://rubalkhali.science/kb/RAK_6000272	31	Deep	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	8.27	8.27		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	31	Deep	6.0195819534267	462115.0	1
Trip 1	190	1	31PRr2	https://rubalkhali.science/kb/RAK_6000278	31	Rhizosphere	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	8.0	8.0		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	31	Rhizosphere	4.750769274962029	300114.0	1
Trip 1	195	1	32PRr3	https://rubalkhali.science/kb/RAK_6000288	32	Rhizosphere	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	8.04	8.04		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	32	Rhizosphere	5.795138750109911	156644.0	1
Trip 1	197	1	33Sr2	https://rubalkhali.science/kb/RAK_6000293	33	Surface	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	8.08	8.08		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	33	Surface	6.114771200056611	271531.0	1
Trip 1	198	1	33Dr1	https://rubalkhali.science/kb/RAK_6000289	33	Deep	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	7.9	7.9		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	33	Deep	5.984028233640966	523517.0	1
Trip 1	202	1	33PRr2	https://rubalkhali.science/kb/RAK_6000296	33	Rhizosphere	2	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	7.7	7.7		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	33	Rhizosphere	5.239384936633843	396883.0	1
Trip 1	204	1	34Sr3	https://rubalkhali.science/kb/RAK_6000303	34	Surface	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	7.87	7.87		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	34	Surface	6.389289360104938	830488.0	1
Trip 1	206	1	34Dr3	https://rubalkhali.science/kb/RAK_6000300	34	Deep	3	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	7.81	7.81		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	34	Deep	5.353876026384497	431609.0	1
Trip 1	207	1	34PRr1	https://rubalkhali.science/kb/RAK_6000304	34	Rhizosphere	1	2026-07-23T00:00:00	2026-07-23	accepted	Yes	98.1	10.06	7.8	7.8		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	34	Rhizosphere	5.5856240381611295	274524.0	1
Trip 1	210	1	35Sr2	https://rubalkhali.science/kb/RAK_6000311	35	Surface	2	2026-07-26T00:00:00	2026-07-26	accepted	Yes	97.6	10.03	8.18	8.18		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	35	Surface	6.351941093844511	768244.0	1
Trip 1	211	1	35Dr2	https://rubalkhali.science/kb/RAK_6000308	35	Deep	2	2026-07-26T00:00:00	2026-07-26	accepted	Yes	97.6	10.03	7.92	7.92		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	35	Deep	6.159990994050095	405578.0	1
