path	field_or_pattern	data_type	unit	missing_convention	description
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	richness_change	integer	not applicable	never blank	Richness change as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	shannon_after	number	not applicable	never blank	Shannon after as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	shannon_before	number	not applicable	never blank	Shannon before as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	shannon_change	number	not applicable	never blank	Shannon change as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/alpha_diversity_sensitivity.tsv	site	integer	not applicable	never blank	Site as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	bh_q_across_six_sensitivity_tests	number	not applicable	never blank	Bh q across six sensitivity tests as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	contrast	string	not applicable	never blank	Contrast as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	mean_difference	number	not applicable	never blank	Mean difference as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	median_difference	number	not applicable	never blank	Median difference as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	n_paired_sites	integer	not applicable	never blank	N paired sites as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	state	string	not applicable	never blank	State as defined by the file-specific audit method.
evidence/control-audit/sensitivity_inputs/trip5_paired_compartment_sensitivity.tsv	wilcoxon_p	number	not applicable	never blank	Wilcoxon p as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	blank_asvs	integer	count	never blank	Blank asvs as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	blank_reads	integer	read count	never blank	Blank reads as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	canonical_missing_sample_count	integer	not applicable	never blank	Canonical missing sample count as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	canonical_sample_count	integer	not applicable	never blank	Canonical sample count as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	extraction_blank	string	not applicable	never blank	Extraction blank as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	extraction_date	date	ISO 8601 calendar date	never blank	Extraction date as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	index_code	string	not applicable	never blank	Index code as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	maximum_biological_removal_fraction	number	proportion (0 to 1)	never blank	Maximum biological removal fraction as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	median_biological_removal_fraction	number	proportion (0 to 1)	never blank	Median biological removal fraction as defined by the file-specific audit method.
evidence/control-audit/trip5_extraction_batch_summary.tsv	workbook_sample_count	integer	not applicable	never blank	Workbook sample count as defined by the file-specific audit method.
evidence/control-audit/trip5_filter_sensitivity.tsv	biological_reads_in_called_features	integer	read count	never blank	Biological reads in called features as defined by the file-specific audit method.
evidence/control-audit/trip5_filter_sensitivity.tsv	called_features	integer	count	never blank	Called features as defined by the file-specific audit method.
evidence/control-audit/trip5_filter_sensitivity.tsv	control_reads_in_called_features	integer	read count	never blank	Control reads in called features as defined by the file-specific audit method.
evidence/control-audit/trip5_filter_sensitivity.tsv	minimum_blank_prevalence_count	integer	not applicable	never blank	Minimum blank prevalence count as defined by the file-specific audit method.
evidence/control-audit/trip5_filter_sensitivity.tsv	prevalence_score_threshold	number	not applicable	never blank	Prevalence score threshold as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	biological_prevalence	number	proportion (0 to 1)	never blank	Biological prevalence as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	blank_prevalence	number	proportion (0 to 1)	never blank	Blank prevalence as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	blank_reads	integer	read count	never blank	Blank reads as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	call	string	not applicable	never blank	Call as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	extraction_blanks_present	integer	not applicable	never blank	Extraction blanks present as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	extraction_blanks_total	integer	not applicable	never blank	Extraction blanks total as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	feature_id	string	not applicable	never blank	Amplicon sequence variant identifier.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	mapped_biological_profiles_present	integer	count	never blank	Mapped biological profiles present as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	mapped_biological_profiles_total	integer	count	never blank	Mapped biological profiles total as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	mapped_biological_reads	integer	read count	never blank	Mapped biological reads as defined by the file-specific audit method.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	prevalence_score	number	not applicable	never blank	One-sided Fisher prevalence-enrichment probability used by the declared screen.
evidence/control-audit/trip5_primary_contaminant_calls.tsv	taxonomy	string	not applicable	never blank	Taxonomy as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	biological_profile_count	integer	not applicable	never blank	Number of compatible biological profiles in the aggregate.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	candidate_contaminant_reads	integer	read count	never blank	Candidate contaminant reads as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	group_type	string	not applicable	never blank	Aggregation dimension for a control-removal summary.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	group_value	integer	not applicable	never blank	Campaign or compartment value used for aggregation.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	maximum_candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Maximum candidate contaminant read fraction as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	median_candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Median candidate contaminant read fraction as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	pooled_candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Candidate-contaminant reads divided by all reads across the aggregate.
evidence/control-audit/trip5_removal_fraction_by_campaign.tsv	total_reads	integer	read count	never blank	Total reads as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	biological_profile_count	integer	not applicable	never blank	Number of compatible biological profiles in the aggregate.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	candidate_contaminant_reads	integer	read count	never blank	Candidate contaminant reads as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	group_type	string	not applicable	never blank	Aggregation dimension for a control-removal summary.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	group_value	string	not applicable	never blank	Campaign or compartment value used for aggregation.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	maximum_candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Maximum candidate contaminant read fraction as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	median_candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Median candidate contaminant read fraction as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	pooled_candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Candidate-contaminant reads divided by all reads across the aggregate.
evidence/control-audit/trip5_removal_fraction_by_compartment.tsv	total_reads	integer	read count	never blank	Total reads as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	application_scope	string	not applicable	never blank	Application scope as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	candidate_contaminant_asvs	integer	count	never blank	Candidate contaminant asvs as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	candidate_contaminant_read_fraction	number	proportion (0 to 1)	never blank	Fraction of profile reads assigned to candidate contaminant ASVs.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	candidate_contaminant_reads	integer	read count	never blank	Candidate contaminant reads as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	extraction_blank	string	not applicable	blank means unknown or not applicable as bounded by row status	Extraction blank as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	profile_id	string	not applicable	never blank	Feature-table profile identifier.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	role	string	not applicable	never blank	Role as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	total_asvs	integer	count	never blank	Total asvs as defined by the file-specific audit method.
evidence/control-audit/trip5_removal_fraction_by_profile.tsv	total_reads	integer	read count	never blank	Total reads as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	absolute_change	number	not applicable	never blank	Absolute change as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	canonical_value	number	not applicable	never blank	Canonical value as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	canonical_verdict	string	not applicable	never blank	Canonical verdict as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	claim	string	not applicable	never blank	Claim as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	control_adjusted_value	number	not applicable	never blank	Control adjusted value as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	control_adjusted_verdict	string	not applicable	never blank	Control adjusted verdict as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	metric	string	not applicable	never blank	Metric as defined by the file-specific audit method.
evidence/control-sensitivity/headline_result_sensitivity.tsv	verdict_stable	boolean	not applicable	never blank	Whether the scientific verdict is identical before and after bounded filtering.
evidence/controls/control_ground_truth.tsv	assay	string	not applicable	never blank	Molecular assay to which the record is applicable.
evidence/controls/control_ground_truth.tsv	control_class	string	not applicable	never blank	Positive, negative, extraction-blank, PCR-blank, inventory-only or no-positive-control classification.
evidence/controls/control_ground_truth.tsv	control_scope	string	not applicable	never blank	Trip, batch, assay or inventory scope to which the control statement applies.
evidence/controls/control_ground_truth.tsv	evidence	string	not applicable	never blank	Evidence as defined by the file-specific audit method.
evidence/controls/control_ground_truth.tsv	limitation	string	not applicable	never blank	Boundary that prevents broader interpretation or reuse.
evidence/controls/control_ground_truth.tsv	material_form	string	not applicable	blank means unknown or not applicable as bounded by row status	Material form as defined by the file-specific audit method.
evidence/controls/control_ground_truth.tsv	material_or_product	string	not applicable	never blank	Material or product as defined by the file-specific audit method.
evidence/controls/control_ground_truth.tsv	record_id	string	not applicable	never blank	Stable identifier for one author-confirmed control-design record.
evidence/controls/control_ground_truth.tsv	status	string	not applicable	never blank	Evidence or curation status of the record.
evidence/controls/control_ground_truth.tsv	workflow_stage	string	not applicable	never blank	Processing stage or stages in which the control participates.
evidence/release/sample_ledger.tsv	amplicon_flag	Boolean	not applicable	never blank	Whether amplicon sequencing is recorded.
evidence/release/sample_ledger.tsv	amplicon_sequencer	string	not applicable	blank when amplicon sequencing is absent or unspecified	Recorded amplicon sequencing platform category.
evidence/release/sample_ledger.tsv	campaign_role	string	not applicable	never blank	Repeated-transect, Trip-1-only, or control role used in release accounting.
evidence/release/sample_ledger.tsv	canonical_site_iri	IRI	not applicable	blank for unresolved controls	Canonical knowledge-graph IRI of the linked site.
evidence/release/sample_ledger.tsv	canonical_site_label	string	not applicable	blank for unresolved controls	Preferred label of the linked site individual.
evidence/release/sample_ledger.tsv	compartment	string	not applicable	blank for laboratory controls	Source compartment: Surface, Shallow, Deep, Rhizosphere, or plant, as applicable.
evidence/release/sample_ledger.tsv	dna_concentration	number	ng/µL	blank when not measured	Recorded DNA concentration.
evidence/release/sample_ledger.tsv	dna_expected_by_generator	Boolean	not applicable	never blank	Whether the DNA generator should create an extraction from this row.
evidence/release/sample_ledger.tsv	dna_kit	string	not applicable	blank when undocumented	Recorded DNA extraction kit.
evidence/release/sample_ledger.tsv	dna_status	string	not applicable	blank when no extraction status was recorded	Source DNA extraction/status value.
evidence/release/sample_ledger.tsv	ecology_repeated_campaign_eligible	Boolean	not applicable	never blank	Whether the record belongs to sites 1–60 and is eligible for repeated-campaign inference.
evidence/release/sample_ledger.tsv	has_sra_run	Boolean	not applicable	never blank	Whether at least one run accession is linked.
evidence/release/sample_ledger.tsv	in_ecology_analysis	Boolean	not applicable	never blank	Whether the normalized identifier occurs in the ecology analysis cache.
evidence/release/sample_ledger.tsv	in_feature_table	Boolean	not applicable	never blank	Whether the normalized identifier occurs in the canonical Trips 1–5 feature table.
evidence/release/sample_ledger.tsv	is_control	Boolean	not applicable	never blank	Whether the row is labelled as a laboratory control.
evidence/release/sample_ledger.tsv	kg_exclusion_reason	string	not applicable	blank when eligible	Explicit reason that an ineligible row is not generated.
