stage	analysis	status	implementation	package_path	decision_rule
kg	Generated taxonomy ABox validation	canonical	scripts/validation/validate_taxonomy_abox_streaming.py	scripts/validation/validate_taxonomy_abox_streaming.py	Reject the stale repository ABox, require the freshly generated checksum-matched TTL, parse the entire file independently, and verify every generated process/dataset/quality/value relationship; full ShEx remains explicitly not run for this multi-gigabyte module.
core	Campaign/compartment/rainfall claim ledger	canonical	analysis/v3/claim_rescue.py	scripts/analysis/claim_rescue.py	Sites 61–64 remain Trip-1 release records but are excluded from repeated-campaign inference; every claim receives explicit permitted wording.
core	Laboratory-XRF community rescue	canonical	analysis/v3/xrf_community_rescue.py	scripts/analysis/xrf_community_rescue.py	Uses 547+178 laboratory records; field sessions stay separate. The adjusted elemental-axis association is not supported and salinity wording remains prohibited without EC.
core	Broad geographic community structure	canonical	analysis/v3/spatial_turnover_rescue.py	scripts/analysis/spatial_turnover_rescue.py	Aggregates replicates, uses CLR composition, centres campaign by compartment, makes site the permutation unit, and requires leave-one-campaign and taxon-set sensitivity. Residual spatial autocorrelation is reported; no assembly mechanism is inferred.
core	Depth-normalized community cache	canonical	analysis/v2/review/build_cache.py	scripts/analysis/build_cache.py	Produces the explicit alpha, genus and phylum inputs consumed by bounded v3 analyses; raw richness is not used for manuscript inference.
core	Prevalence-filtered ASV phylogeny cache	canonical	analysis/v2/review/build_tree.py;analysis/v3/midpoint_root_tree.py	scripts/analysis/build_tree.py;scripts/analysis/midpoint_root_tree.py	Select ASVs present in at least 5% of non-control profiles, extract their deposited sequences, align with MAFFT, infer a GTR nucleotide tree with FastTree and midpoint-root it with scikit-bio. The threshold is dimension reduction, not a contaminant or relic-DNA classification.
core	Paired compartment-composition test	canonical	analysis/v3/compartment_composition_rescue.py	scripts/analysis/compartment_composition_rescue.py	Sums sequencing replicates within campaign x site x position, applies a declared zero treatment and CLR, centres each campaign x site block, averages within site and makes the site the permutation and bootstrap unit. Multivariate location (paired sign-flip of the mean difference vector) and dispersion are reported separately, with taxon-set, zero-treatment and leave-one-campaign gates. A compartment effect is never interpreted as a plant selective filter: plant identity, root activity, root distance and local moisture were not measured.
core	Sequencing-depth and extraction-protocol sensitivity	canonical	analysis/v3/depth_extraction_sensitivity.py;data/release/sample_ledger.tsv	scripts/analysis/depth_extraction_sensitivity.py;evidence/release/sample_ledger.tsv	Joins extraction metadata through the release ledger with a declared Trip-5 suffix fallback and reports coverage, missingness and ambiguous profile-to-specimen mappings; refits the site-clustered GEE without and with log sequencing depth and across kit-as-recorded, complete-case-cohort, kit-varying-campaign and protocol-matched models. Extraction kit is partly confounded with campaign: QIACube occurs only in campaigns 4 and 5, which contain no other recorded kit, whereas campaigns 1--3 contain more than one recorded kit. This is a robustness check, not removal of laboratory batch effects.
core	Assay-aware control audit and contamination sensitivity	canonical	scripts/controls/run_assay_aware_control_audit.py;scripts/controls/run_control_ecology_sensitivity.sh;workflow/bin/run_control_analysis.sh	scripts/controls/run_assay_aware_control_audit.py;scripts/controls/run_control_ecology_sensitivity.sh;workflow/bin/run_control_analysis.sh	Use only extraction-day blanks EB1--EB17 with documented batch links to Trip-5 profiles for contaminant training; do not assign a blank exclusively to a field trip; keep positive controls evaluation-only; report expected-taxon recovery, exact-ASV overlap, per-batch removal and every before/after headline metric. Apply the candidate set only to the 217 compatible co-extracted Trip-5 biological profiles and retain the unfiltered table as canonical.
core	Compositionally coherent XRF/community sensitivity	canonical	analysis/v3/xrf_community_clr_sensitivity.py	scripts/analysis/xrf_community_clr_sensitivity.py	Reuses the canonical 11-element within-campaign-standardized laboratory-XRF axis unchanged, keeps field XRF separate, and retests the same 621 core-site joins in Aitchison geometry after campaign, position and site adjustment with within-site permutation and a site-cluster bootstrap. Salinity, soluble-ion, osmotic-stress and causal wording remains prohibited whatever the outcome.
core	Leakage-free geographic prediction and collection-order audit	canonical	analysis/v3/geographic_prediction.py	scripts/analysis/geographic_prediction.py	Hold out a whole campaign and contiguous transect block together, select taxa only inside each training fold, score within-compartment differences, and compare whole-site and cyclic-shift/reflection nulls. Keep site-block-only prediction as a sensitivity and report the collection-order/transect alias explicitly.
core	ASV-resolution and spatial-neighbourhood sensitivity	canonical	analysis/v3/spatial_resolution_sensitivity.py	scripts/analysis/spatial_resolution_sensitivity.py	Repeat the primary spatial model at ASV resolution on the aligned cohort and vary the Moran-neighbour graph. Treat this only as a resolution sensitivity and carry forward every observational and collection-order limitation.
core	Compartment-specific distance decay and turnover decomposition	canonical	analysis/v3/distance_decay_turnover.py	scripts/analysis/distance_decay_turnover.py	Use matched sites, Aitchison distances and whole-site permutations; compare compartment slopes through paired distance contrasts with maximum-statistic control. Partition coverage-standardised Sorensen dissimilarity into replacement and nestedness-resultant components without treating site pairs as independent.
core	Paired Shannon evenness decomposition	canonical	analysis/v3/evenness_decomposition_analysis.py	scripts/analysis/evenness_decomposition_analysis.py	Apply the manuscript aggregation order and site-paired inference to Shannon, Hurlbert expected richness and normalized-evenness sensitivities. Report the analysis as post hoc and do not infer a root-mediated mechanism.
core	Site-level climate and collection-weather associations	canonical	analysis/v3/environment_associations.py;data/processed/climate/monthly_weather_averages_canonical.tsv;data/processed/metadata/environmental_measurements_curated.tsv	scripts/analysis/environment_associations.py;metadata/climate/monthly_weather_averages_canonical.tsv;metadata/environmental/environmental_measurements_curated.tsv	Average 49 complete monthly climate observations and ecological endpoints within each of 60 core sites; test nine climate-diversity and 600 climate-genus associations in two declared Benjamini-Hochberg families. Keep collection-weather models as supplementary diagnostics and do not separate climate from the coincident transect gradient causally.
core	Short-term rainfall pulse and sensitivity suite	canonical	analysis/v3/rain_response_window.py;analysis/v3/rain_pulse_response.py;analysis/v3/run_rain_pulse_suite.py;data/processed/climate/nasa_power_daily_precipitation.tsv.gz;data/processed/climate/daily_weather_canonical.tsv	scripts/analysis/rain_response_window.py;scripts/analysis/rain_pulse_response.py;scripts/analysis/run_rain_pulse_suite.py;metadata/climate/nasa_power_daily_precipitation.tsv.gz;metadata/climate/daily_weather_canonical.tsv	Represent antecedent rainfall with a rise-and-decay kernel over 60 complete days, search peaks from 0.5 to 30 days across three alpha-diversity endpoints, and calibrate the complete search with 19,999 campaign-stratified cyclic lag rotations. Quantify site-sampling uncertainty with 9,999 whole-site bootstrap draws and repeat the analysis across rainfall products, the control-filtered table, paired bulk samples, pH adjustment and alternative route trends. Treat the result as a bounded observational association, not causation or an exact biological latency.
retired	Legacy 158-row XRF-community join	retired	analysis/v2/review/fix_xrf_join.py	NOT_INCLUDED_RETIRED	Replaced by the complete 725-record laboratory-XRF rescue; the legacy Trip-5 analytical table omitted 20 records.
retired	Legacy neutral, guild, environmental and dispersion scripts	retired	analysis/v2/review/fix_rq18_neutral.py;analysis/v2/review/fix_compositionality.py;analysis/v2/review/fix_pseudoreplication.py;analysis/v2/review/permdisp_check.py	NOT_INCLUDED_RETIRED	Exploratory outputs are retained for provenance but are not copied into the manuscript-generating workflow.
retired	Legacy campaign and relic-DNA strengthening scripts	retired	analysis/v2/review/strengthen_rq19.py;analysis/v2/review/strengthen_relic.py	NOT_INCLUDED_RETIRED	Replaced by the grouped claim ledger and bounded paired-PMA endpoint module; no season, mechanism or relic-fraction claim is permitted.
core	PMA paired endpoints	canonical	analysis/v3/pma_endpoint_analysis.py;data-paper/zenodo/metadata/relic-dna/PMA_ASV_table.tsv	scripts/analysis/pma_endpoint_analysis.py;metadata/relic-dna/PMA_ASV_table.tsv	Use nine paired Trip-5 aliquots, deterministic Hurlbert expected richness and paired exact Wilcoxon tests; report no quantitative relic fraction, equivalence, viability or survey-wide mechanism.
advanced	Phylogenetic-signal diagnostic	rescue	analysis/v2/RQ26_CausalIdentification/scripts/phylo_signal_test.py	scripts/analysis/phylo_signal_test.py	Uses the canonical laboratory elemental axis and structured outputs; weak or absent positive signal retires betaNTI process labels and percentages.
retired	Legacy differential-abundance screen	retired	analysis/v2/review/differential_abundance.py	NOT_INCLUDED_RETIRED	Not used in either manuscript; prevalence, compositional sensitivity and grouped multiplicity control were insufficient for taxon-level claims.
retired	Legacy spatial/environmental partitioning	retired	analysis/v2/review/variance_partition.py	NOT_INCLUDED_RETIRED	Uses non-independent community rows and a Trip-5-only XRF partition; replaced by the site-level spatial rescue and complete all-trip laboratory-XRF rescue.
retired	Legacy all-trip “salinity” geochemistry	retired	analysis/v2/review/geochem_alltrips.py	NOT_INCLUDED_RETIRED	Uses a same-matrix salt-element score, an invalid one-level habitat PERMANOVA in the present data, and unsupported salinity terminology; replaced by the canonical 725-record laboratory-XRF community rescue.
advanced	Genome-resolved encoded-functional convergence test	canonical	analysis/v3/functional_redundancy_null.py;data-paper/zenodo/metadata/metagenome/coverm_profiles.tar.gz;data-paper/zenodo/metadata/metagenome/eq.emapper.annotations.gz	scripts/analysis/functional_redundancy_null.py;metadata/metagenome/coverm_profiles.tar.gz;BULK:metadata/metagenome/eq.emapper.annotations.gz	Convergence requires both KO-copy and within-genome-relative projections below the 2.5% tail of the intact-genome-label null. Here both exceed its 97.5% tail, so functional convergence/redundancy is rejected; any secondary differentiation wording is restricted to the annotated genome fraction and does not establish expression, activity, flux, or direct-read function.
advanced	Compositional conditional-association network rescue	canonical	analysis/v3/network_rescue/run_network_rescue.py	scripts/analysis/run_network_rescue.py	Use the exact matched cohort, common taxa, CLR, within-campaign centering, a common null-calibrated regularization parameter, paired site-cluster bootstraps and sensitivity gates; retain stable edges descriptively but prohibit density ordering, season, resilience and hub mechanisms when contrast intervals include zero.
advanced	Evidence-bounded manuscript figures	canonical	analysis/v3/make_submission_figures.py	scripts/analysis/make_submission_figures.py	Render one integrated landscape figure, one paired soil-position figure, one predicted-function/control figure and one supplementary rainfall diagnostic from canonical outputs; show effect intervals when available, fail if the relevant claim verdicts change and record exact input/output checksums.
advanced	Cross-desert contextual reanalysis	canonical	analysis/v3/cross_desert_context.py;analysis/v2/RQ27_Transportability/atacama_gradient/atacama_per_site.csv;analysis/v2/RQ27_Transportability/atacama_pit/ASV_table.tsv;analysis/v2/RQ27_Transportability/atacama_pit/ASV_tax.silva_138_2.tsv;analysis/v2/RQ27_Transportability/atacama_pit/sample_depth_map.tsv	scripts/analysis/cross_desert_context.py;metadata/comparators/atacama/gradient/atacama_per_site.csv;metadata/comparators/atacama/pit/ASV_table.tsv;metadata/comparators/atacama/pit/ASV_tax.silva_138_2.tsv;metadata/comparators/atacama/pit/sample_depth_map.tsv	Keep the site or sampled depth as the independent unit, compare effect directions without merging incompatible markers, archive every input hash, and prohibit pooled effect sizes or shared-mechanism claims.
retired	Legacy function-versus-taxonomy variance comparison	retired	analysis/v2/review/function_vs_taxonomy_varpart.py	NOT_INCLUDED_RETIRED	Feature-resolution differences make the raw comparison non-diagnostic; replaced by the intact-genome-label null.
advanced	PICRUSt/shotgun and metabolic-marker summary	rescue	analysis/v3/measured_function_summary.py;data-paper/zenodo/metadata/metagenome/measured_function_inputs.tar.gz	scripts/analysis/measured_function_summary.py;metadata/metagenome/measured_function_inputs.tar.gz	Report broad whole-profile association with weak marker-level agreement; the retained output supports 132 joint RuBisCO+PRK records, but the complete screened-genome denominator is not reconstructable and no fraction is reported.
advanced	PICRUSt2 pathway ecology	canonical	analysis/v3/picrust2_ecology.py;data/processed/functional/picrust2/merged/path_abun_unstrat.tsv;data/processed/functional/picrust2/merged/sample_metadata.tsv;data/processed/functional/picrust2/merged/weighted_nsti.tsv;data/processed/functional/picrust2/path_abun_unstrat_descriptions.tsv	scripts/analysis/picrust2_ecology.py;metadata/functional/picrust2/merged/path_abun_unstrat.tsv;metadata/functional/picrust2/merged/sample_metadata.tsv;metadata/functional/picrust2/merged/weighted_nsti.tsv;metadata/functional/picrust2/path_abun_unstrat_descriptions.tsv	Use 60 sites as independent units for predicted MetaCyc pathway geography and paired soil-position inference, with 9,999 whole-site permutations and declared multiplicity families. Require NSTI reporting and comparison with matched shotgun KO profiles; interpret PICRUSt2 only as predicted metabolic potential, never activity or process rate.
retired	Legacy causal-identification and “salinity” sensitivity scripts	retired	analysis/v2/RQ26_CausalIdentification/scripts/verify_dag_identification.py;analysis/v2/RQ26_CausalIdentification/scripts/perform_sensitivity.py	NOT_INCLUDED_RETIRED	The observational design does not identify the manuscript effects, and the sensitivity script uses the unvalidated same-matrix “salinity” score; causal claims remain prohibited.
retired	Thresholded Spearman networks	retired	analysis/v2/review/cooccurrence_networks.py	NOT_INCLUDED_RETIRED	Replaced by compositional, null-calibrated network rescue.
retired	Pairwise OLS/Mantel significance	retired	analysis/v2/review/fix_distance_decay.py	NOT_INCLUDED_RETIRED	Replaced for broad geographic inference by the site-level compositional spatial rescue; legacy coefficients remain descriptive only.
retired	Unvalidated 14-day bloom	retired	analysis/archive_v1/RQ1_PulseReserve	NOT_INCLUDED_RETIRED	Can return only after trip adjustment, multiplicity, and leave-one-campaign tests.
