rank	pathway	description	prevalence	mean_relative_abundance
102	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	1	0.004671284431
103	PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	1	0.004628823316
104	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	1	0.004613619664
105	TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	1	0.004591289326
106	PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	1	0.00457739771
107	GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	1	0.004545725402
108	PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	1	0.004495974458
109	HSERMETANA-PWY	L-methionine biosynthesis III	1	0.004474462475
110	PWY-5918	superpathay of heme biosynthesis from glutamate	1	0.00446671239
111	1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	1	0.004460699486
112	MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	1	0.00443592853
113	PWY0-781	aspartate superpathway	1	0.004424291802
114	PWY-6612	superpathway of tetrahydrofolate biosynthesis	1	0.004307786525
115	PWY-5913	TCA cycle VI (obligate autotrophs)	1	0.00425676425
116	PWY-6700	queuosine biosynthesis	1	0.004235400172
117	PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	0.9984202212	0.004191266379
118	P23-PWY	reductive TCA cycle I	0.9936808847	0.004180283193
119	PWY-7196	superpathway of pyrimidine ribonucleosides salvage	0.9968404423	0.004165360227
120	PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	1	0.004157380126
121	GLYOXYLATE-BYPASS	glyoxylate cycle	1	0.004156107697
122	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	0.9968404423	0.004119229459
123	PWY-7392	taxadiene biosynthesis (engineered)	0.9968404423	0.004053924378
124	PWY-6703	preQ0 biosynthesis	1	0.00387624934
125	HOMOSER-METSYN-PWY	L-methionine biosynthesis I	1	0.003687993382
126	PWY-6317	galactose degradation I (Leloir pathway)	0.9952606635	0.003642948007
127	HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	1	0.003609712058
128	PWY-7199	pyrimidine deoxyribonucleosides salvage	0.9984202212	0.003555845818
129	PWY-6628	superpathway of L-phenylalanine biosynthesis	1	0.003528068588
130	PWY-6630	superpathway of L-tyrosine biosynthesis	1	0.003508068124
131	PWY-5104	L-isoleucine biosynthesis IV	1	0.003421837666
132	PWY-4984	urea cycle	1	0.003364462377
133	HISDEG-PWY	L-histidine degradation I	1	0.003354677368
134	PWY0-1296	purine ribonucleosides degradation	0.9984202212	0.00332498188
135	PWY-7254	TCA cycle VII (acetate-producers)	1	0.003279882094
136	PWYG-321	mycolate biosynthesis	1	0.003279560395
137	COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	1	0.003232083487
138	COLANSYN-PWY	colanic acid building blocks biosynthesis	1	0.003205816958
139	GLYCOCAT-PWY	glycogen degradation I (bacterial)	1	0.003160784023
140	PWY-6901	superpathway of glucose and xylose degradation	0.9952606635	0.003155842655
141	PWY-5920	superpathway of heme biosynthesis from glycine	1	0.003142463867
142	PWY-7664	oleate biosynthesis IV (anaerobic)	1	0.003139813202
143	LEU-DEG2-PWY	L-leucine degradation I	1	0.003095765851
144	PYRIDNUCSAL-PWY	NAD salvage pathway I	1	0.003086572177
145	PWY-5989	stearate biosynthesis II (bacteria and plants)	1	0.00296576802
146	PWY-6737	starch degradation V	1	0.002951561191
147	PWY0-1297	superpathway of purine deoxyribonucleosides degradation	0.9984202212	0.002913590769
148	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1	0.00289668959
149	FERMENTATION-PWY	mixed acid fermentation	1	0.002850870817
150	PWY0-862	(5Z)-dodec-5-enoate biosynthesis	1	0.002836211876
151	PWY-5505	L-glutamate and L-glutamine biosynthesis	1	0.002799374589
152	PWY-5022	4-aminobutanoate degradation V	0.9968404423	0.002792922868
153	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	1	0.002775038342
154	PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	0.9968404423	0.002771171218
155	PWY-6151	S-adenosyl-L-methionine cycle I	1	0.002758254736
156	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	0.9968404423	0.002736994686
157	PWY-6895	superpathway of thiamin diphosphate biosynthesis II	0.9968404423	0.002733614696
158	PWY-5840	superpathway of menaquinol-7 biosynthesis	0.9952606635	0.002728977236
159	THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I	0.9936808847	0.002728787941
160	PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	0.9984202212	0.002723936883
161	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	0.9936808847	0.002714323767
162	PWY-5838	superpathway of menaquinol-8 biosynthesis I	0.9952606635	0.00265762866
163	PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	1	0.002652849958
164	PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	1	0.002652849958
165	PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	1	0.002652849958
166	PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	1	0.002652849958
167	PWY-5897	superpathway of menaquinol-11 biosynthesis	0.9952606635	0.002641351968
168	PWY-5898	superpathway of menaquinol-12 biosynthesis	0.9952606635	0.002641351968
169	PWY-5899	superpathway of menaquinol-13 biosynthesis	0.9952606635	0.002641351968
170	PWY-6269	adenosylcobalamin salvage from cobinamide II	1	0.002607431706
171	PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	1	0.002605854477
172	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	1	0.002550123869
173	UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	1	0.002540170823
174	PWY0-1061	superpathway of L-alanine biosynthesis	0.9984202212	0.002515432127
175	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	0.9984202212	0.00251491247
176	PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	1	0.002508846573
177	NAGLIPASYN-PWY	lipid IVA biosynthesis	1	0.00247390993
178	PWY0-1479	tRNA processing	0.9968404423	0.002421541637
179	PWY-2941	L-lysine biosynthesis II	0.9968404423	0.002412686154
180	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	1	0.002412143844
181	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	1	0.002378323876
182	PWY-5100	pyruvate fermentation to acetate and lactate II	0.9968404423	0.002212778791
183	PWY-5971	palmitate biosynthesis II (bacteria and plants)	0.9778830964	0.002173032794
184	PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	0.9952606635	0.002140104601
185	PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	1	0.002130249138
186	P161-PWY	acetylene degradation	1	0.002064944644
187	PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.9952606635	0.002061340774
188	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	0.9984202212	0.002017922484
189	PWY-7242	D-fructuronate degradation	1	0.001969117102
190	PWY-181	photorespiration	0.9936808847	0.001957059634
191	PWY-6519	8-amino-7-oxononanoate biosynthesis I	0.9984202212	0.001953499084
192	POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	0.9968404423	0.001941523302
193	PWY-7431	aromatic biogenic amine degradation (bacteria)	1	0.001932378603
194	PWY-6263	superpathway of menaquinol-8 biosynthesis II	0.9936808847	0.001901746613
195	PWY-5863	superpathway of phylloquinol biosynthesis	0.9952606635	0.001878118579
196	PWY-1861	formaldehyde assimilation II (RuMP Cycle)	0.9921011058	0.001868115114
197	P124-PWY	Bifidobacterium shunt	0.9968404423	0.001817930863
198	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	1	0.001805777571
199	PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	0.9952606635	0.001743617206
200	PWY-7237	myo-, chiro- and scillo-inositol degradation	1	0.001623170442
201	PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	1	0.001598528636
202	GALACTUROCAT-PWY	D-galacturonate degradation I	0.9984202212	0.001585911206
203	TYRFUMCAT-PWY	L-tyrosine degradation I	1	0.001550185064
204	PWY-5845	superpathway of menaquinol-9 biosynthesis	0.9873617694	0.001537130402
205	PWY-5850	superpathway of menaquinol-6 biosynthesis I	0.9873617694	0.001536613593
206	PWY-5896	superpathway of menaquinol-10 biosynthesis	0.9873617694	0.001536613593
207	P164-PWY	purine nucleobases degradation I (anaerobic)	0.981042654	0.001488894297
208	RUMP-PWY	formaldehyde oxidation I	0.9921011058	0.001450810194
209	ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	0.9778830964	0.001438547034
210	PWY-621	sucrose degradation III (sucrose invertase)	0.9968404423	0.001414904323
211	PWY-6891	thiazole biosynthesis II (Bacillus)	0.9968404423	0.001398121473
212	P122-PWY	heterolactic fermentation	0.9936808847	0.001362225945
213	POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	0.9921011058	0.001312833408
214	PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	1	0.001282952793
215	PWY-5676	acetyl-CoA fermentation to butanoate II	1	0.001197406958
216	PWY-6892	thiazole biosynthesis I (E. coli)	0.9936808847	0.001175060975
217	PWY-7527	L-methionine salvage cycle III	0.9968404423	0.001152954184
218	PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	0.9873617694	0.001149934757
219	PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	0.9873617694	0.001149575261
220	P562-PWY	myo-inositol degradation I	1	0.001140605837
221	PWY-5028	L-histidine degradation II	1	0.00112361708
222	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.9936808847	0.001064279927
223	PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	0.990521327	0.001055412132
224	PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0.9873617694	0.001035460651
225	PWY1G-0	mycothiol biosynthesis	0.9889415482	0.001033523612
226	PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	0.9968404423	0.001022337446
227	PWY-5180	toluene degradation I (aerobic) (via o-cresol)	0.9968404423	0.001021850289
228	PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	0.9968404423	0.001021850289
229	PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.990521327	0.001013385037
230	PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	1	0.001002948414
231	P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	0.9952606635	0.0009915236285
232	PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	0.9794628752	0.0009542352942
233	PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	0.9936808847	0.0009532983986
234	PWY-6588	pyruvate fermentation to acetone	1	0.000926239849
235	PWY-7007	methyl ketone biosynthesis	0.9889415482	0.0009116189355
236	RHAMCAT-PWY	L-rhamnose degradation I	0.9936808847	0.0008981951433
237	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	0.9889415482	0.0008957864178
238	PWY0-1533	methylphosphonate degradation I	0.9984202212	0.0008529715439
239	ARGORNPROST-PWY	arginine, ornithine and proline interconversion	0.9936808847	0.0008458850195
240	ENTBACSYN-PWY	enterobactin biosynthesis	0.9842022117	0.0008301941962
241	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	0.9936808847	0.000812231812
242	PWY-7255	ergothioneine biosynthesis I (bacteria)	0.9842022117	0.0008085229495
243	PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	0.9889415482	0.0007942398558
244	P221-PWY	octane oxidation	0.9952606635	0.0007918756409
245	PWY-3661	glycine betaine degradation I	0.9936808847	0.0007899036967
246	PWY-5747	2-methylcitrate cycle II	0.9984202212	0.0007651366317
247	PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	0.9936808847	0.0007620203556
248	PWY-7616	methanol oxidation to carbon dioxide	0.9842022117	0.0007441353698
249	PPGPPMET-PWY	ppGpp biosynthesis	1	0.0007334668073
250	PWY-5415	catechol degradation I (meta-cleavage pathway)	0.9968404423	0.0007326319887
251	P281-PWY	3-phenylpropanoate degradation	0.9984202212	0.0007261132156
252	PWY0-321	phenylacetate degradation I (aerobic)	0.9968404423	0.0007129218415
253	NADSYN-PWY	NAD biosynthesis II (from tryptophan)	0.9889415482	0.0007021735786
254	PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.990521327	0.0006946652776
255	PWY-5705	allantoin degradation to glyoxylate III	1	0.0006932521571
256	P441-PWY	superpathway of N-acetylneuraminate degradation	0.9873617694	0.0006871090702
257	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	0.990521327	0.0006747538762
258	PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0.981042654	0.0006727919303
259	CENTFERM-PWY	pyruvate fermentation to butanoate	0.9889415482	0.0006650042026
260	PWY-5384	sucrose degradation IV (sucrose phosphorylase)	0.9952606635	0.0006631113803
261	PWY0-42	2-methylcitrate cycle I	0.9984202212	0.0006629590802
262	PWY-5181	toluene degradation III (aerobic) (via p-cresol)	0.9984202212	0.000626771711
263	P125-PWY	superpathway of (R,R)-butanediol biosynthesis	0.9952606635	0.0006209784125
264	P101-PWY	ectoine biosynthesis	0.9921011058	0.0006011769514
265	PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	0.9747235387	0.0005705132996
266	PWY-6071	superpathway of phenylethylamine degradation	0.9936808847	0.0005575439499
267	TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	0.9873617694	0.0005549278261
268	PWY-5419	catechol degradation to 2-oxopent-4-enoate II	1	0.0005498671727
269	PWY-5420	catechol degradation II (meta-cleavage pathway)	0.9984202212	0.0005461114128
270	PWY-6396	superpathway of 2,3-butanediol biosynthesis	0.990521327	0.0005302127112
271	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	0.990521327	0.0004911468764
272	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.9889415482	0.0004834724539
273	CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	0.9952606635	0.0004724777939
274	PWY-5741	ethylmalonyl-CoA pathway	0.990521327	0.0004664071305
275	PWY-6182	superpathway of salicylate degradation	0.9952606635	0.0004345756631
276	PWY-5417	catechol degradation III (ortho-cleavage pathway)	0.9952606635	0.0004234667009
277	PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	0.9952606635	0.0004234667009
278	P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	0.971563981	0.0004233498675
279	PWY490-3	nitrate reduction VI (assimilatory)	1	0.0004210518613
280	P163-PWY	L-lysine fermentation to acetate and butanoate	0.9794628752	0.0004147482783
281	PWY-7003	glycerol degradation to butanol	0.9826224329	0.0003885566443
282	CODH-PWY	reductive acetyl coenzyme A pathway	0.9826224329	0.0003877392985
283	PWY-6185	4-methylcatechol degradation (ortho cleavage)	0.9921011058	0.000366685147
284	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0.9889415482	0.0003580227777
285	CRNFORCAT-PWY	creatinine degradation I	0.9873617694	0.0003417911116
286	PWY-5655	L-tryptophan degradation IX	0.9857819905	0.0003412509059
287	PWY-7013	L-1,2-propanediol degradation	0.9652448657	0.0003167695494
288	PWY-6876	isopropanol biosynthesis	0.9889415482	0.000314940465
289	AST-PWY	L-arginine degradation II (AST pathway)	0.9889415482	0.0003133206802
290	PWY-7295	L-arabinose degradation IV	0.9573459716	0.0003065861358
291	METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	0.9826224329	0.0003054110574
292	DENITRIFICATION-PWY	nitrate reduction I (denitrification)	0.9921011058	0.0002992363624
293	GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.9873617694	0.0002788901826
294	PWY-5941	glycogen degradation II (eukaryotic)	0.9699842022	0.0002787625077
295	PWY-6505	L-tryptophan degradation XII (Geobacillus)	0.9842022117	0.0002780128923
296	PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	0.9889415482	0.0002706591965
297	SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	0.9747235387	0.0002626481321
298	PWY-5005	biotin biosynthesis II	0.9684044234	0.0002616099066
299	GALLATE-DEGRADATION-I-PWY	gallate degradation II	0.9826224329	0.0002505063659
300	P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	0.971563981	0.0002503786122
301	PWY-5392	reductive TCA cycle II	0.9415481833	0.0002437694068
302	PWY-5647	2-nitrobenzoate degradation I	0.9873617694	0.0002436139926
303	PWY-6728	methylaspartate cycle	0.9352290679	0.0002428237151
304	PWY-6339	syringate degradation	0.6856240126	0.0002372087743
305	PWY-6749	CMP-legionaminate biosynthesis I	0.9747235387	0.0002161522599
306	PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0.9668246445	0.0002008150686
307	NAD-BIOSYNTHESIS-II	NAD salvage pathway II	0.9873617694	0.0001992391138
308	KETOGLUCONMET-PWY	ketogluconate metabolism	0.9889415482	0.0001963665908
309	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	0.9747235387	0.0001870470951
310	PWY-6641	superpathway of sulfolactate degradation	0.9763033175	0.0001864849224
311	PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0.9794628752	0.00018066155
312	P241-PWY	coenzyme B biosynthesis	0.9747235387	0.0001801362967
313	PWY-6562	norspermidine biosynthesis	0.9921011058	0.0001779415244
314	GLUCARDEG-PWY	D-glucarate degradation I	0.990521327	0.0001763264184
315	PWY-5430	meta cleavage pathway of aromatic compounds	0.9763033175	0.0001755202521
316	PWY-3801	sucrose degradation II (sucrose synthase)	0.9257503949	0.0001658303387
317	PWY-1541	superpathway of taurine degradation	0.971563981	0.0001617374042
318	PWY-5178	toluene degradation IV (aerobic) (via catechol)	0.9731437599	0.0001614391713
319	GALACTARDEG-PWY	D-galactarate degradation I	0.9921011058	0.0001589007613
320	GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	0.9921011058	0.0001589007613
321	PWY-5266	p-cymene degradation	0.3096366509	0.0001513199832
322	PWY-5273	p-cumate degradation	0.3096366509	0.0001513199832
323	PWY-6210	2-aminophenol degradation	0.9842022117	0.0001433388048
324	PWY-6107	chlorosalicylate degradation	0.9889415482	0.0001374935055
325	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	0.9557661927	0.0001353106085
326	ORNDEG-PWY	superpathway of ornithine degradation	0.644549763	0.0001323810805
327	PWY-7315	dTDP-N-acetylthomosamine biosynthesis	0.9778830964	0.0001319558954
328	PWY-5531	chlorophyllide a biosynthesis II (anaerobic)	0.9668246445	0.0001309007544
329	PWY-7159	chlorophyllide a biosynthesis III (aerobic, light independent)	0.9668246445	0.0001309007544
