control_id	aliases	raw_files_or_accessions	trip	extraction_batch	pcr_batch	library_batch	index	lane	control_stage	polarity	commercial_or_custom_candidate	candidate_organisms	multiqc_join	observed_dominant_taxa	observed_asvs	read_count	evidence	competing_interpretation	confidence	promoted	family
EB11	unknown	ERR16783285; ERS29439730	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0252; NA; NA 0.0150; Nitrolancea; hollandica 0.0098	1519	495356	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB12	unknown	ERR16783286; ERS29439731	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0161; NA; NA 0.0141; NA; NA 0.0064	1414	360779	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB13	unknown	ERR16783287; ERS29439732	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0200; NA; NA 0.0152; Nitrolancea; hollandica 0.0111	1834	332474	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB14	unknown	ERR16783288; ERS29439733	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0189; NA; NA 0.0140; Nitrolancea; hollandica 0.0092	1052	222312	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB15	unknown	ERR16783289; ERS29439734	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0238; NA; NA 0.0139; Herbihabitans; NA 0.0086	1188	264450	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB16	unknown	ERR16783290; ERS29439735	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0273; Limosilactobacillus; NA 0.0112; Rubrobacter; NA 0.0100	1175	332021	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB17	unknown	ERR16783291; ERS29439736	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0143; NA; NA 0.0143; Limosilactobacillus; NA 0.0074	2181	603911	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB18	unknown	ERR16783292; ERS29439737	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0180; NA; NA 0.0109; Actinokineospora; fastidiosa 0.0090	1833	491118	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB2	unknown	ERR16783293; ERS29439738	not applicable (extraction day may include multiple trips)	unknown	unknown	M-25-0771	SU0228	L002	DNA extraction	negative	custom (extraction blank)	not applicable	M-25-0771_EB2_SU0228-SU0228_L002_R1_001	NA; NA 0.0153; Nitrolancea; hollandica 0.0116; NA; NA 0.0112	2317	670322	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB3	unknown	ERR16783294; ERS29439739	not applicable (extraction day may include multiple trips)	unknown	unknown	M-25-0772	SU0240	L002	DNA extraction	negative	custom (extraction blank)	not applicable	M-25-0772_EB3_SU0240-SU0240_L002_R1_001	Streptomyces; NA 0.0291; Chelativorans; NA 0.0278; Acetobacteraceae; Roseicella 0.0195	182	37978	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB4	unknown	ERR16783295; ERS29439740	not applicable (extraction day may include multiple trips)	unknown	unknown	M-25-0773	SU0252	L002	DNA extraction	negative	custom (extraction blank)	not applicable	M-25-0773_EB4_SU0252-SU0252_L002_R1_001	Streptomyces; NA 0.1110; Pseudolysinimonas; NA 0.0341; NA; NA 0.0296	148	17388	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB5	unknown	ERR16783296; ERS29439741	not applicable (extraction day may include multiple trips)	unknown	unknown	M-25-0774	SU0264	L002	DNA extraction	negative	custom (extraction blank)	not applicable	M-25-0774_EB5_SU0264-SU0264_L002_R1_001	NA; NA 0.0237; NA; NA 0.0127; Bacillus; halotolerans 0.0060	1271	294641	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB6	unknown	ERR16783297; ERS29439742	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	NA; NA 0.1270; Aeromonas; aquatica 0.0393; Streptomyces; NA 0.0370	122	11130	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB7	unknown	ERR16783298; ERS29439743	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	Streptomyces; NA 0.0340; Streptomycetaceae; Streptomyces 0.0285; Aeromonas; aquatica 0.0266	145	16822	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB8	unknown	ERR16783299; ERS29439744	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	NA; NA 0.0204; Nitrolancea; hollandica 0.0117; NA; NA 0.0102	1041	238761	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB9	unknown	ERR16783300; ERS29439745	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	NA; NA 0.0236; NA; NA 0.0124; Herbihabitans; NA 0.0085	1540	722664	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
Extraction Ctrl	unknown	unknown	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R1_001	not in the canonical feature table	unknown	unknown	master-sheet rows; MultiQC record M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384 names a Trip 1 PowerSoil Pro extraction control	which extraction batch each blank accompanied is not recorded, and 'Ctrl 2' may be a second batch or a second replicate	moderate for the stage; batch unknown	NO	extraction_blank_named
Extraction Ctrl 2	unknown	unknown	Trip1	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	master-sheet rows; MultiQC record M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384 names a Trip 1 PowerSoil Pro extraction control	which extraction batch each blank accompanied is not recorded, and 'Ctrl 2' may be a second batch or a second replicate	moderate for the stage; batch unknown	NO	extraction_blank_named
Neg Ctrl (PCR)	Negative control – PCR	PRJNA1065643/SRR27587568; SAMN39465999	unknown	unknown	unknown	unknown	unknown	unknown	PCR (no-template)	negative	custom (no template)	not applicable	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587568, library_name 'Neg Ctrl (PCR)', sample_title 'Negative control - PCR'; MultiQC record M-25-0555_PCR-Ctrl-Trip1_UDP0374	the master-sheet identifiers and the archive library name are not byte-identical, so the mapping is by role rather than by identifier	moderate-to-high for the role; identifier mapping inferred	NO	negative_pcr
Negative1	unknown	ERR16783301; ERS29439746	unknown	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	Aeromonas; aquatica 0.0968; Aeromonas; aquatica 0.0960; Aeromonas; aquatica 0.0864	44	6206	six submission rows ERR16783301-ERR16783307 and six canonical feature-table profiles; Negative3 is absent from both and no record states why; Robert confirmed that Negative1-Negative7 are extraction blanks	the missing Negative3 may have failed QC, been withdrawn, or never existed; trip and extraction batch are not recorded	high for extraction-blank stage; trip, batch and missing-Negative3 disposition unknown	NO	negative_numbered
Negative2	unknown	ERR16783302; ERS29439747	unknown	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	no unambiguous MultiQC record	Bradyrhizobium; elkanii 0.0447; Hyphomicrobiales; Amb-16S-1323 0.0402; Acidobacteriae; Terriglobales 0.0371	262	78645	six submission rows ERR16783301-ERR16783307 and six canonical feature-table profiles; Negative3 is absent from both and no record states why; Robert confirmed that Negative1-Negative7 are extraction blanks	the missing Negative3 may have failed QC, been withdrawn, or never existed; trip and extraction batch are not recorded	high for extraction-blank stage; trip, batch and missing-Negative3 disposition unknown	NO	negative_numbered
